date,time,location,download,upload,latency
2022-09-05,05:51,Bornholm,348.61,910.62,32.85 ms
2022-06-27,14:22,Copenhagen,1787.95,409.64,54.82 ms
2022-09-26,16:29,Hvidovre,1169.95,448.17,7.36 ms
2022-06-25,20:37,Helsingør,676.14,201.1,51.06 ms
2022-03-01,00:48,Middelfart,2065.46,572.04,42.75 ms
2022-02-05,21:58,Lemvig,1246.16,1180.0,31.62 ms
2022-09-11,09:32,Greve,2396.08,776.36,15.77 ms
2022-06-15,02:55,Gladsaxe,1373.83,1214.78,49.29 ms
2022-11-22,17:34,Frederikshavn,354.53,850.23,47.53 ms
2022-02-15,02:33,Tønder,1042.21,211.36,36.62 ms
2022-02-10,21:15,Faaborg-Midtfyn,2163.61,805.85,36.82 ms
2022-04-22,14:51,Frederikssund,2356.31,1019.03,23.83 ms
2022-07-19,00:54,Fredensborg,882.84,991.04,31.98 ms
2022-03-20,22:27,Aarhus,903.44,849.05,32.1 ms
2022-06-25,05:41,Hørsholm,446.8,723.27,2.95 ms
2022-01-10,19:59,Thisted,655.13,48.5,26.69 ms
2022-06-29,10:59,Ikast-Brande,2229.55,271.66,46.23 ms
2022-09-25,03:58,Rebild,1398.78,681.0,48.78 ms
2022-06-09,03:32,Fredensborg,1421.88,1055.75,25.09 ms
2022-04-12,21:15,Bornholm,2314.95,921.61,20.75 ms
2022-02-24,12:56,Fredericia,170.46,1074.22,47.16 ms
2022-02-18,13:47,Tårnby,2430.32,861.02,5.79 ms
2022-07-19,11:11,Thisted,247.78,627.52,37.46 ms
2022-11-21,10:23,Skive,2374.7,295.55,46.66 ms
2022-04-15,23:31,Samsø,1499.15,398.0,55.85 ms
2022-07-11,01:27,Vordingborg,840.85,1237.34,54.19 ms
2022-01-17,06:28,Glostrup,1423.3,449.32,47.12 ms
2022-10-01,13:47,Slagelse,2356.67,429.81,15.19 ms
2022-08-08,07:20,Faxe,887.62,1070.69,38.53 ms
2022-05-11,16:51,Rudersdal,2024.33,499.58,10.25 ms
2022-01-22,10:30,Fredensborg,133.92,1247.04,37.51 ms
2022-08-12,18:35,Fredericia,648.09,393.61,13.61 ms
2022-05-07,09:08,Hillerød,657.27,1055.03,24.42 ms
2022-05-08,11:56,Esbjerg,2508.3,814.71,38.52 ms
2022-03-27,05:12,Lejre,2073.83,304.49,25.8 ms
2022-10-19,13:00,Viborg,1347.34,1252.89,46.45 ms
2022-10-19,21:47,Viborg,1558.29,756.47,46.16 ms
2022-07-27,01:46,Fredensborg,2447.83,1167.64,54.04 ms
2022-02-04,02:55,Samsø,2011.5,342.35,9.2 ms
2022-01-10,23:53,Egedal,1985.33,180.2,13.53 ms
2022-07-24,10:07,Allerød,1312.75,103.36,2.42 ms
2022-11-23,12:47,Ringkøbing-Skjern,99.3,450.85,8.83 ms
2022-11-24,09:44,Faaborg-Midtfyn,1365.09,301.95,42.34 ms
2022-03-24,08:33,Lolland,765.7,46.11,10.68 ms
2022-06-09,00:08,Aabenraa,670.44,137.92,47.66 ms
2022-12-20,14:29,Thisted,1345.32,382.84,5.79 ms
2022-08-08,08:09,Aalborg,1194.9,535.94,3.52 ms
2022-04-01,00:07,Middelfart,2224.09,181.79,33.64 ms
2022-10-09,03:34,Bornholm,216.12,19.62,33.13 ms
2022-01-15,10:37,Fanø,986.85,686.9,29.9 ms
2022-10-08,03:50,Rebild,1624.89,409.73,11.42 ms
2022-06-07,03:01,Solrød,2405.81,1217.79,5.69 ms
2022-01-29,02:43,Struer,2224.91,828.54,24.17 ms
2022-10-04,09:38,Rudersdal,1414.54,902.47,55.52 ms
2022-08-31,15:27,Rebild,916.93,977.86,28.28 ms
2022-04-22,07:11,Esbjerg,2039.79,790.82,28.24 ms
2022-06-10,19:30,Vejle,1861.33,51.1,7.83 ms
2022-07-05,10:17,Skanderborg,2156.43,931.57,23.26 ms
2022-01-24,13:19,Dragør,1107.09,99.06,21.64 ms
2022-03-28,01:17,Næstved,1890.36,324.6,35.0 ms
2022-09-09,16:44,Glostrup,1783.41,341.39,32.93 ms
2022-06-27,03:20,Læsø,1629.58,263.93,45.69 ms
2022-11-29,11:01,Furesø,2012.09,442.39,31.65 ms
2022-06-11,03:00,Guldborgsund,988.84,852.68,31.73 ms
2022-09-27,02:31,Gentofte,775.46,666.51,4.76 ms
2022-06-27,13:42,Herlev,1021.11,572.89,44.07 ms
2022-12-30,20:19,Brøndby,1593.17,144.97,32.04 ms
2022-11-23,17:17,Faaborg-Midtfyn,2274.44,363.18,16.29 ms
2022-12-20,11:06,Horsens,2243.55,1049.68,17.28 ms
2022-09-29,14:27,Hørsholm,1412.74,273.59,23.22 ms
2022-02-22,18:01,Albertslund,1390.29,868.3,53.38 ms
2022-09-15,07:31,Holbæk,2033.06,259.32,54.78 ms
2022-05-18,00:22,Vallensbæk,1515.76,996.94,46.92 ms
2022-01-28,09:09,Furesø,1090.08,689.95,17.88 ms
2022-10-07,12:31,Tårnby,1956.22,520.6,32.64 ms
2022-03-31,04:53,Fanø,2273.64,937.9,11.79 ms
2022-01-20,20:59,Struer,842.56,1161.93,20.26 ms
2022-10-07,08:06,Thisted,1823.9,47.48,33.35 ms
2022-10-12,13:03,Hvidovre,459.39,890.1,27.11 ms
2022-12-31,07:16,Ishøj,978.95,490.44,35.29 ms
2022-10-17,21:57,Favrskov,2140.0,1253.28,21.98 ms
2022-11-23,17:58,Ballerup,999.02,692.55,24.05 ms
2022-07-12,02:45,Holbæk,839.45,525.72,43.65 ms
2022-04-22,02:19,Nyborg,1943.06,926.93,19.29 ms
2022-10-30,19:00,Rebild,70.93,2.41,54.51 ms
2022-08-30,20:06,Holbæk,446.1,1201.23,39.52 ms
2022-05-11,12:42,Næstved,739.57,765.51,5.11 ms
2022-05-14,04:21,Egedal,1819.02,1018.95,34.12 ms
2022-06-04,17:55,Randers,1206.07,35.81,32.2 ms
2022-02-11,20:29,Egedal,1495.31,5.89,26.58 ms
2022-06-24,06:50,Albertslund,1106.22,658.47,16.31 ms
2022-02-19,19:57,Kalundborg,330.36,779.7,40.16 ms
2022-12-28,14:24,Holbæk,1799.67,470.01,41.28 ms
2022-09-05,03:52,Glostrup,1431.83,1256.24,5.87 ms
2022-12-24,18:00,Viborg,267.71,768.83,35.33 ms
2022-04-11,20:18,Vallensbæk,1535.49,210.51,24.51 ms
2022-02-22,15:53,Aarhus,705.57,1013.21,2.91 ms
2022-12-01,20:28,Slagelse,1975.12,1116.2,24.96 ms
2022-06-29,02:07,Mariagerfjord,2001.79,363.88,12.13 ms
2022-08-19,18:09,Morsø,1896.41,598.13,52.19 ms
2022-12-11,10:15,Bornholm,2282.89,801.74,54.3 ms
2022-06-09,18:01,Ikast-Brande,2084.2,560.86,28.83 ms
2022-04-10,19:51,Guldborgsund,1017.43,1009.39,21.59 ms
2022-02-01,23:54,Holbæk,1098.46,1174.91,47.89 ms
2022-12-16,14:39,Kerteminde,2446.78,268.74,15.73 ms
2022-03-30,10:23,Nordfyn,46.48,312.59,44.03 ms
2022-01-06,07:25,Faxe,77.16,269.35,41.05 ms
2022-04-26,05:10,Tårnby,340.19,468.43,8.94 ms
2022-07-27,05:50,Assens,2333.49,690.24,20.81 ms
2022-12-09,21:34,Ærø,620.48,838.84,24.14 ms
